melone,meloni
arre,arrestato
berrettino,berrettini
migrare,migranti
invent minigonna,minigonna
giletto,giletti
elettricit,elettricità
polo calenda,calenda
sudare,sudan
runa,rune
universit,università
jean marie pen,jean marie le pen
sostituzione etnico,sostituzione etnica
moretto,moretti
vecchione,vecchioni
giorgetto,giorgetti
sanit,sanità
fugatto,fugatti
societ,società
citt,città
maio,di maio
luigi maio,luigi di maio
serie,serie a
stabilit,stabilità
juve,juventus
tassa,tasse
rovello,rovelli
tasso,tassi
alatri,d'alatri
spallettare,spalletti
conta,conte
vax,no vax
giusapere,giuseppe
giusapere conta,giuseppe conte
siccit,siccità
laurentiis,de laurentiis
natalit,natalità
studente,studenti
fiamma,fiamme
pisano,pisani
lindo yaccarino,linda yaccarino
forl,forlì
bergere,berger
visconte,visconti
sfollato,sfollati
nube radioattivo,nube radioattiva